Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sauce Labs,Chrome 119.0.6045.106,,,2023-11-06 10:33:38,2023-11-06 10:34:42,1m - 3.437s,FAILED
,,,,,,,
Test Cases/LoginSauce,Chrome 119.0.6045.106,,,2023-11-06 10:33:39,2023-11-06 10:33:44,5.672s,PASSED
"openBrowser("""")",Chrome 119.0.6045.106,,,2023-11-06 10:33:39,2023-11-06 10:33:43,3.156s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 119.0.6045.106,,,2023-11-06 10:33:43,2023-11-06 10:33:43,0.667s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_user-name""), ""standard_user"")",Chrome 119.0.6045.106,,,2023-11-06 10:33:43,2023-11-06 10:33:44,0.430s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_password""), ""qcu24s4901FyWDTwXGr6XA=="")",Chrome 119.0.6045.106,,,2023-11-06 10:33:44,2023-11-06 10:33:44,0.306s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 119.0.6045.106,,,2023-11-06 10:33:44,2023-11-06 10:33:44,0.263s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Swag Labs/div_Swag Labs""), ""Swag Labs"")",Chrome 119.0.6045.106,,,2023-11-06 10:33:44,2023-11-06 10:33:44,0.183s,PASSED
,,,,,,,
Test Cases/AddCartSauce,Chrome 119.0.6045.106,,,2023-11-06 10:33:44,2023-11-06 10:33:49,4.693s,PASSED
"callTestCase(findTestCase(""LoginSauce""), [:], STOP_ON_FAILURE)",Chrome 119.0.6045.106,,,2023-11-06 10:33:45,2023-11-06 10:33:49,3.615s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_Add to cart""))",Chrome 119.0.6045.106,,,2023-11-06 10:33:49,2023-11-06 10:33:49,0.130s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/span_1""))",Chrome 119.0.6045.106,,,2023-11-06 10:33:49,2023-11-06 10:33:49,0.149s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Swag Labs/div_Sauce Labs Backpackcarry.allTheThings()_a0841a""))",Chrome 119.0.6045.106,,,2023-11-06 10:33:49,2023-11-06 10:33:49,0.126s,PASSED
,,,,,,,
Test Cases/Checkout,Chrome 119.0.6045.106,,,2023-11-06 10:33:49,2023-11-06 10:33:57,7.978s,PASSED
"callTestCase(findTestCase(""AddCartSauce""), [:], STOP_ON_FAILURE)",Chrome 119.0.6045.106,,,2023-11-06 10:33:49,2023-11-06 10:33:55,5.497s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Swag Labs/button_Checkout""))",Chrome 119.0.6045.106,,,2023-11-06 10:33:55,2023-11-06 10:33:55,0.164s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_Checkout""))",Chrome 119.0.6045.106,,,2023-11-06 10:33:55,2023-11-06 10:33:55,0.278s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Checkout Your Information_firstName""), ""test"")",Chrome 119.0.6045.106,,,2023-11-06 10:33:55,2023-11-06 10:33:56,0.293s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Checkout Your Information_lastName""), ""test"")",Chrome 119.0.6045.106,,,2023-11-06 10:33:56,2023-11-06 10:33:56,0.359s,PASSED
"setText(findTestObject(""Object Repository/Page_Swag Labs/input_Checkout Your Information_postalCode""), ""123"")",Chrome 119.0.6045.106,,,2023-11-06 10:33:56,2023-11-06 10:33:56,0.347s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Swag Labs/input_Cancel_continue""))",Chrome 119.0.6045.106,,,2023-11-06 10:33:56,2023-11-06 10:33:57,0.257s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/input_Cancel_continue""))",Chrome 119.0.6045.106,,,2023-11-06 10:33:57,2023-11-06 10:33:57,0.260s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Swag Labs/div_Checkout Overview""), ""Checkout: Overview"")",Chrome 119.0.6045.106,,,2023-11-06 10:33:57,2023-11-06 10:33:57,0.147s,PASSED
,,,,,,,
Test Cases/FinishOrder,Chrome 119.0.6045.106,,,2023-11-06 10:33:57,2023-11-06 10:34:42,44.632s,FAILED
"callTestCase(findTestCase(""Checkout""), [:], STOP_ON_FAILURE)",Chrome 119.0.6045.106,,,2023-11-06 10:33:58,2023-11-06 10:34:05,6.826s,PASSED
"callTestCase(findTestCase(""Checkout""), [:], STOP_ON_FAILURE)",Chrome 119.0.6045.106,,,2023-11-06 10:34:05,2023-11-06 10:34:10,5.725s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Swag Labs/button_Finish""), 0)",Chrome 119.0.6045.106,,,2023-11-06 10:34:10,2023-11-06 10:34:10,0.112s,PASSED
"click(findTestObject(""Object Repository/Page_Swag Labs/button_Finish""))",Chrome 119.0.6045.106,,,2023-11-06 10:34:10,2023-11-06 10:34:11,0.137s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Swag Labs/h2_Thank you for your order""), ""Thank you for your order!"")",Chrome 119.0.6045.106,,,2023-11-06 10:34:11,2023-11-06 10:34:42,31.177s,FAILED
